id,category,current_position,years_experience,education_level,top_skills,resume_summary
16852973,HR,HR ADMINISTRATOR/MARKETING ASSOCIATE,15.0,S1,"[""Customer Service"", ""Team management"", ""Marketing"", ""Conflict resolution"", ""Training and development"", ""Client relations"", ""Data analysis"", ""Human Resources""]","Dedicated Customer Service Manager with over 15 years of experience in Hospitality and Customer Service Management. Proven track record in building and leading customer-focused teams, with a strong emphasis on customer satisfaction. As an HR Administrator, responsible for developing policies, managing employee relations, and administering benefits programs. Experienced in marketing, having designed marketing collateral and managed advertising programs. Skilled in conflict resolution, training, and development, with certifications in customer loyalty and marketing. Demonstrated ability to analyze market strategies and improve customer engagement through social media and website management."
22323967,HR,HR Specialist,8.0,S2,"[""Adobe Photoshop"", ""HR"", ""Project Management"", ""marketing"", ""content"", ""SharePoint"", ""process improvement"", ""Customer Care""]","Versatile media professional with a strong background in Communications, Marketing, Human Resources, and Technology. Currently serving as an HR Specialist in US HR Operations since September 2015, responsible for managing communications related to operations, policy changes, and system outages. Developed comprehensive training programs and conducted monthly benefits briefings for new hires. Previous experience includes roles in IT, Marketing, and Communications, where I contributed to corporate SharePoint management, marketing campaigns, and event coordination. I hold a Master of Arts in Corporate Communication & Public Relations and a Bachelor of Arts in Relational Communication, equipping me with the skills to effectively bridge communication between HR managers and vendors, and to enhance organizational branding and marketing efforts."
33176873,HR,HR Director,20.0,S2,"[""Recruiting"", ""HRIS Development"", ""Policy Development"", ""Benefit Administration"", ""Web Page Development"", ""Leadership Training"", ""FMLA"", ""Workers Compensation""]","Seorang profesional HR dengan lebih dari 20 tahun pengalaman dalam rekrutmen dan lebih dari 15 tahun dalam manajemen eksekutif sumber daya manusia. Memiliki pengalaman dalam pengembangan dan pemeliharaan HRIS selama 5 tahun serta pengalaman di lingkungan kesehatan selama 4 tahun. Berhasil mengembangkan dan mengimplementasikan berbagai program dan kebijakan HR, termasuk pengembangan situs web untuk agensi dan sistem penggajian baru. Memiliki kemampuan untuk mengelola proses rekrutmen untuk berbagai posisi, termasuk klinisi dan manajemen, serta memberikan dukungan kepada manajemen dalam manajemen kinerja. Memiliki gelar Master dalam Sistem Manajemen Informasi dan gelar Sarjana dalam Manajemen Organisasi dari Friends University. Terlibat dalam berbagai organisasi profesional dan memiliki banyak penghargaan atas kontribusinya dalam bidang sumber daya manusia."
27018550,HR,HR SPECIALIST,20.0,D3,"[""Microsoft Word"", ""Microsoft Excel"", ""Microsoft Access"", ""Microsoft Outlook"", ""Microsoft PowerPoint"", ""Personnel management"", ""Excellent customer service skills"", ""Conflict resolution""]","Dedicated HR Specialist with over 20 years of customer service expertise, focused on maintaining customer satisfaction and contributing to company success through effective personnel and process management. Proven ability to establish rapport with clients and a solid team player. Experienced in handling inbound and outbound communications in a contact center environment, with a strong emphasis on call quality and customer satisfaction. Skilled in managing HR inquiries, resolving issues, and maintaining detailed records of customer interactions. Holds a Certificate of Completion in Business Administration from Texas A&M Extension Services."
17812897,HR,HR Manager,22.0,S1,"[""Employee Relations"", ""Benefits Administration"", ""Recruitment"", ""Performance Management"", ""Organizational Development"", ""HR Policies & Procedures"", ""Training & Development"", ""HRIS Technologies""]","Seorang HR Manager berpengalaman dengan lebih dari 22 tahun di bidang sumber daya manusia, memiliki keahlian dalam pengelolaan hubungan karyawan, administrasi manfaat, dan rekrutmen. Memiliki latar belakang yang kuat dalam mengembangkan dan menerapkan kebijakan HR yang mendukung inisiatif strategis perusahaan. Berhasil mengelola fungsi HR di berbagai organisasi, termasuk startup dan lembaga nonprofit, dengan fokus pada peningkatan budaya kerja dan kepuasan karyawan. Memiliki pengalaman dalam mengelola program pelatihan dan pengembangan, serta sistem manajemen sumber daya manusia. Terbukti mampu merekrut dan mempertahankan talenta berkualitas tinggi, serta mengelola proses peninjauan karyawan tahunan. Memiliki gelar Sarjana Administrasi Bisnis dan aktif dalam asosiasi profesional di bidang HR."
11592605,HR,HR Generalist,6.0,S1,"[""Microsoft Office"", ""Human Resource Management"", ""Excel"", ""Time management"", ""Legal administrative support"", ""Recruitment"", ""Performance Management"", ""Training programs""]","Dedicated HR Generalist with over 6 years of experience in managing visa-related employment processes for non-immigrant faculty and staff. Proven track record in improving productivity and enhancing visa-related services, with a significant reduction in internal employment authorization processing times. Skilled in preparing and submitting petitions for USCIS adjudication and maintaining electronic databases. Experienced in providing advice to faculty, staff, and students on complex regulatory guidelines, and recognized as a Designated School Official for non-immigrant student programs. Holds a BA in Justice Studies and a certification in Paralegal studies, with strong proficiency in Microsoft Office and HR management. Committed to delivering high-quality administrative support and fostering a positive work environment."
25824789,HR,HR MANAGER,16.0,S1,"[""Employee Relations"", ""Training & Development"", ""HR Policies & Procedures"", ""Performance Management"", ""Mediation"", ""Project Management"", ""Web Design"", ""Microsoft Office Suites""]","Seorang HR Manager dengan pengalaman luas dalam tugas administratif dan pengembangan sumber daya manusia. Memiliki keahlian dalam mengimplementasikan program pelatihan dan pengembangan, mediasi, resolusi konflik, serta manajemen catatan HR. Berhasil dalam mengembangkan program teambuilding dan menulis manual personel. Memiliki pengalaman dalam mengelola program penghargaan karyawan dan orientasi karyawan baru. Berpengalaman dalam menggunakan teknologi HRIS dan memiliki kemampuan dalam desain web. Memiliki gelar Bachelor of Science di bidang Sosiologi dari Texas Woman's University dan aktif dalam berbagai asosiasi profesional di bidang sumber daya manusia. Telah memberikan pelatihan kepada lebih dari 250 karyawan dan memiliki kemampuan bilingual dalam bahasa Inggris dan Spanyol."
15375009,HR,HR Manager,7.0,S2,"[""employee relations"", ""recruitment"", ""payroll processing"", ""employee handbooks"", ""project management"", ""benefits administration"", ""team building"", ""compliance""]","Seorang profesional HR berpengalaman dengan pendekatan perbaikan berkelanjutan dalam membangun dan mendukung organisasi. Sebagai HR Manager, saya telah berhasil mengembangkan strategi rekrutmen yang komprehensif dan mengisi lebih dari 50 posisi dalam waktu 9 bulan. Saya memiliki pemahaman yang kuat tentang hukum ketenagakerjaan dan masalah kepatuhan, serta berhasil memperkenalkan inisiatif pengembangan staf untuk mencapai tujuan perusahaan. Saya juga telah mengelola semua aspek administrasi cuti dan program manfaat, serta mengembangkan proses evaluasi karyawan yang baru yang menghasilkan peningkatan kinerja yang signifikan. Dengan pengalaman dalam mengelola hubungan karyawan dan menyelesaikan sengketa terkait pekerjaan, saya berkomitmen untuk menciptakan lingkungan kerja yang positif dan produktif."
11847784,HR,HR Specialist,15.0,S1,"[""Management consultation"", ""Negotiation"", ""E-Recruitment"", ""HR policies/procedures"", ""Customer service"", ""Job analysis"", ""Compensation analysis"", ""Training and development""]","An HR Specialist with over 15 years of extensive experience in HR classification, compensation, and recruitment. Proven track record in managing full-cycle recruitment processes, ensuring candidate qualifications align with organizational needs, and conducting thorough pre-employment checks. Demonstrated expertise in developing and implementing competency-based pay programs across various occupations, including healthcare and engineering. Skilled in providing consultation to management for effective departmental goal achievement and conducting job analyses for compensation practices. Experienced in training and development, having delivered leadership and supervisory skills training, as well as policy training on performance management and workplace regulations. Strong negotiation skills and a commitment to delivering excellent customer service in HR functions."
32896934,HR,HR Clerk,7.0,S1,"[""Applicant Tracking System"", ""Payroll Management"", ""Compensation and Benefits"", ""Performance Management"", ""Continuous Improvement"", ""Six Sigma"", ""Lean Manufacturing"", ""Database Management""]","Seorang HR Clerk dengan pengalaman lebih dari 7 tahun dalam manajemen sumber daya manusia dan dukungan administratif. Memiliki keahlian dalam mengkoordinasikan program rekrutmen dan orientasi, serta mengelola sistem penggajian dan manfaat karyawan. Berpengalaman dalam menggunakan sistem pelacakan pelamar dan manajemen basis data. Memiliki latar belakang pendidikan S1 di bidang Manajemen Bisnis dan HRM dari University of Phoenix, serta sertifikasi SHRM-CP. Terlibat dalam berbagai proyek peningkatan berkelanjutan dan memiliki kemampuan dalam mengelola informasi karyawan serta mematuhi kebijakan terkait. Mampu beradaptasi dengan baik dalam lingkungan kerja yang dinamis dan berkomitmen untuk meningkatkan keterlibatan karyawan serta efisiensi operasional."
